slope sample slice mean std take_throw
0.00995807 f 033 0.003891 0.004907 1
0.01029796 f 034 0.003891 0.004907 1
0.01035860 f 035 0.003891 0.004907 1
0.01041157 f 036 0.003891 0.004907 1
0.01037915 f 037 0.003891 0.004907 1
0.01067194 f 038 0.003891 0.004907 1
0.01027206 f 039 0.003891 0.004907 1
0.01029941 f 040 0.003891 0.004907 1
0.01026369 f 041 0.003891 0.004907 1
0.00125337 G 002 0.000410 0.000273 1
0.00117654 G 003 0.000410 0.000273 1
0.00099755 G 004 0.000410 0.000273 1
0.00097689 G 005 0.000410 0.000273 1
0.00080908 G 006 0.000410 0.000273 1
0.00058631 G 007 0.000410 0.000273 1
0.00068284 G 008 0.000410 0.000273 1
0.00054822 G 009 0.000410 0.000273 1
0.00050398 G 010 0.000410 0.000273 1
0.00047596 G 011 0.000410 0.000273 1
0.00041892 G 012 0.000410 0.000273 1
0.00040268 G 013 0.000410 0.000273 1
0.00031468 G 014 0.000410 0.000273 1
0.00042291 G 015 0.000410 0.000273 1
0.00038526 G 016 0.000410 0.000273 1
0.00042786 G 017 0.000410 0.000273 1
0.00031846 G 018 0.000410 0.000273 1
0.00043382 G 019 0.000410 0.000273 1
0.00034356 G 020 0.000410 0.000273 1
0.00033380 G 021 0.000410 0.000273 1
0.00034215 G 022 0.000410 0.000273 1
0.00025644 G 023 0.000410 0.000273 1
0.00020841 G 024 0.000410 0.000273 1
0.00022092 G 025 0.000410 0.000273 1
0.00025321 G 026 0.000410 0.000273 1
0.00027227 G 027 0.000410 0.000273 1
0.00025608 G 028 0.000410 0.000273 1
0.00026511 G 029 0.000410 0.000273 1
0.00029612 G 030 0.000410 0.000273 1
0.00022701 G 031 0.000410 0.000273 1
0.00017585 G 032 0.000410 0.000273 1
0.00020090 G 033 0.000410 0.000273 1
0.00019716 G 034 0.000410 0.000273 1
0.00021464 G 035 0.000410 0.000273 1
0.00019349 G 036 0.000410 0.000273 1
0.00021121 G 037 0.000410 0.000273 1
0.00021609 G 038 0.000410 0.000273 1
0.00020141 G 039 0.000410 0.000273 1
0.00020334 G 040 0.000410 0.000273 1
0.00018226 G 041 0.000410 0.000273 1
0.00292462 H 002 0.001977 0.000441 1
0.00302476 H 003 0.001977 0.000441 1
0.00290481 H 004 0.001977 0.000441 1
0.00279791 H 005 0.001977 0.000441 1
0.00276742 H 006 0.001977 0.000441 1
0.00260842 H 007 0.001977 0.000441 1
0.00265581 H 008 0.001977 0.000441 1
0.00252741 H 009 0.001977 0.000441 1
0.00252837 H 010 0.001977 0.000441 1
0.00244383 H 011 0.001977 0.000441 1
0.00239391 H 012 0.001977 0.000441 1
0.00232033 H 013 0.001977 0.000441 1
0.00232523 H 014 0.001977 0.000441 1
0.00230106 H 015 0.001977 0.000441 1
0.00214375 H 016 0.001977 0.000441 1
0.00207455 H 017 0.001977 0.000441 1
0.00203862 H 018 0.001977 0.000441 1
0.00210222 H 019 0.001977 0.000441 1
0.00185650 H 020 0.001977 0.000441 1
0.00188257 H 021 0.001977 0.000441 1
0.00199279 H 022 0.001977 0.000441 1
0.00192512 H 023 0.001977 0.000441 1
0.00184826 H 024 0.001977 0.000441 1
0.00181587 H 025 0.001977 0.000441 1
0.00181399 H 026 0.001977 0.000441 1
0.00183180 H 027 0.001977 0.000441 1
0.00180231 H 028 0.001977 0.000441 1
0.00172311 H 029 0.001977 0.000441 1
0.00177926 H 030 0.001977 0.000441 1
0.00177760 H 031 0.001977 0.000441 1
0.00172351 H 032 0.001977 0.000441 1
0.00176735 H 033 0.001977 0.000441 1
0.00163051 H 034 0.001977 0.000441 1
0.00172969 H 035 0.001977 0.000441 1
0.00158222 H 036 0.001977 0.000441 1
0.00162051 H 037 0.001977 0.000441 1
0.00151934 H 038 0.001977 0.000441 1
0.00155073 H 039 0.001977 0.000441 1
0.00156517 H 040 0.001977 0.000441 1
0.00149280 H 041 0.001977 0.000441 1
0.00157055 H 042 0.001977 0.000441 1
0.00154174 H 043 0.001977 0.000441 1
0.00167180 H 044 0.001977 0.000441 1
0.00157700 H 045 0.001977 0.000441 1
0.00144604 H 046 0.001977 0.000441 1
0.00157013 H 047 0.001977 0.000441 1
0.00154619 H 048 0.001977 0.000441 1
0.00160344 H 049 0.001977 0.000441 1
0.00162103 H 050 0.001977 0.000441 1
0.00158913 H 051 0.001977 0.000441 1
0.00473661 I 002 0.004983 0.000201 1
0.00493487 I 003 0.004983 0.000201 1
0.00496593 I 004 0.004983 0.000201 1
0.00521001 I 005 0.004983 0.000201 1
0.00504787 I 006 0.004983 0.000201 1
0.00502743 I 007 0.004983 0.000201 1
0.00514161 I 008 0.004983 0.000201 1
0.00508038 I 009 0.004983 0.000201 1
0.00486900 I 010 0.004983 0.000201 1
0.00529515 I 011 0.004983 0.000201 1
0.00489327 I 012 0.004983 0.000201 1
0.00517218 I 013 0.004983 0.000201 1
0.00499783 I 014 0.004983 0.000201 1
0.00529401 I 015 0.004983 0.000201 1
0.00524644 I 016 0.004983 0.000201 1
0.00524315 I 017 0.004983 0.000201 1
0.00542975 I 018 0.004983 0.000201 1
0.00510975 I 019 0.004983 0.000201 1
0.00527438 I 020 0.004983 0.000201 1
0.00521810 I 021 0.004983 0.000201 1
0.00503359 I 022 0.004983 0.000201 1
0.00494429 I 023 0.004983 0.000201 1
0.00525049 I 024 0.004983 0.000201 1
0.00513021 I 025 0.004983 0.000201 1
0.00508552 I 026 0.004983 0.000201 1
0.00505917 I 027 0.004983 0.000201 1
0.00495450 I 028 0.004983 0.000201 1
0.00500034 I 029 0.004983 0.000201 1
0.00486284 I 030 0.004983 0.000201 1
0.00483752 I 031 0.004983 0.000201 1
0.00518633 I 032 0.004983 0.000201 1
0.00473041 I 033 0.004983 0.000201 1
0.00507587 I 034 0.004983 0.000201 1
0.00480963 I 035 0.004983 0.000201 1
0.00466078 I 036 0.004983 0.000201 1
0.00478637 I 037 0.004983 0.000201 1
0.00469121 I 038 0.004983 0.000201 1
0.00473743 I 039 0.004983 0.000201 1
0.00477624 I 040 0.004983 0.000201 1
0.00491243 I 041 0.004983 0.000201 1
0.00492080 I 042 0.004983 0.000201 1
0.00437800 I 043 0.004983 0.000201 1
0.00490264 I 044 0.004983 0.000201 1
0.00504827 I 045 0.004983 0.000201 1
0.00482560 I 046 0.004983 0.000201 1
0.00482985 I 047 0.004983 0.000201 1
0.00486112 I 048 0.004983 0.000201 1
0.00498115 I 049 0.004983 0.000201 1
0.00481988 I 050 0.004983 0.000201 1
0.00485746 I 051 0.004983 0.000201 1
0.00039099 J 002 0.000319 0.000214 1
0.00059437 J 003 0.000319 0.000214 1
0.00072426 J 004 0.000319 0.000214 1
0.00077125 J 005 0.000319 0.000214 1
0.00070828 J 006 0.000319 0.000214 1
0.00073015 J 007 0.000319 0.000214 1
0.00072765 J 008 0.000319 0.000214 1
0.00064458 J 009 0.000319 0.000214 1
0.00061434 J 010 0.000319 0.000214 1
0.00054414 J 011 0.000319 0.000214 1
0.00053351 J 012 0.000319 0.000214 1
0.00050508 J 013 0.000319 0.000214 1
0.00050394 J 014 0.000319 0.000214 1
0.00053066 J 015 0.000319 0.000214 1
0.00041342 J 016 0.000319 0.000214 1
0.00035175 J 017 0.000319 0.000214 1
0.00046726 J 018 0.000319 0.000214 1
0.00040298 J 019 0.000319 0.000214 1
0.00039327 J 020 0.000319 0.000214 1
0.00040041 J 021 0.000319 0.000214 1
0.00036817 J 022 0.000319 0.000214 1
0.00031331 J 023 0.000319 0.000214 1
0.00034411 J 024 0.000319 0.000214 1
0.00026330 J 025 0.000319 0.000214 1
0.00026097 J 026 0.000319 0.000214 1
0.00023665 J 027 0.000319 0.000214 1
0.00018649 J 028 0.000319 0.000214 1
0.00020598 J 029 0.000319 0.000214 1
0.00020855 J 030 0.000319 0.000214 1
0.00022766 J 031 0.000319 0.000214 1
0.00019362 J 032 0.000319 0.000214 1
0.00018408 J 033 0.000319 0.000214 1
0.00019424 J 034 0.000319 0.000214 1
0.00017653 J 035 0.000319 0.000214 1
0.00017562 J 036 0.000319 0.000214 1
0.00015814 J 037 0.000319 0.000214 1
0.00013283 J 038 0.000319 0.000214 1
0.00013785 J 039 0.000319 0.000214 1
0.00011167 J 040 0.000319 0.000214 1
0.00010073 J 041 0.000319 0.000214 1
0.00011510 J 042 0.000319 0.000214 1
0.00008587 J 043 0.000319 0.000214 1
0.00009164 J 044 0.000319 0.000214 1
0.00007920 J 045 0.000319 0.000214 1
0.00007560 J 046 0.000319 0.000214 1
0.00008392 J 047 0.000319 0.000214 1
0.00006702 J 048 0.000319 0.000214 1
0.00007855 J 049 0.000319 0.000214 1
0.00009789 J 050 0.000319 0.000214 1
0.00005969 J 051 0.000319 0.000214 1
0.00102947 K 002 0.000602 0.000290 1
0.00079269 K 003 0.000602 0.000290 1
0.00074453 K 004 0.000602 0.000290 1
0.00057890 K 005 0.000602 0.000290 1
0.00056453 K 006 0.000602 0.000290 1
0.00053181 K 007 0.000602 0.000290 1
0.00046671 K 008 0.000602 0.000290 1
0.00050239 K 009 0.000602 0.000290 1
0.00045338 K 010 0.000602 0.000290 1
0.00040422 K 011 0.000602 0.000290 1
0.00039566 K 012 0.000602 0.000290 1
0.00034027 K 013 0.000602 0.000290 1
0.00031139 K 014 0.000602 0.000290 1
0.00031773 K 015 0.000602 0.000290 1
0.00028974 K 016 0.000602 0.000290 1
0.00136086 K 017 0.000602 0.000290 1
0.00132260 K 018 0.000602 0.000290 1
0.00128149 K 019 0.000602 0.000290 1
0.00110709 K 020 0.000602 0.000290 1
0.00099934 K 021 0.000602 0.000290 1
0.00108335 K 022 0.000602 0.000290 1
0.00094813 K 023 0.000602 0.000290 1
0.00091258 K 024 0.000602 0.000290 1
0.00084693 K 025 0.000602 0.000290 1
0.00081910 K 026 0.000602 0.000290 1
0.00076535 K 027 0.000602 0.000290 1
0.00073858 K 028 0.000602 0.000290 1
0.00063091 K 029 0.000602 0.000290 1
0.00068592 K 030 0.000602 0.000290 1
0.00065017 K 031 0.000602 0.000290 1
0.00057532 K 032 0.000602 0.000290 1
0.00056180 K 033 0.000602 0.000290 1
0.00049488 K 034 0.000602 0.000290 1
0.00051375 K 035 0.000602 0.000290 1
0.00044593 K 036 0.000602 0.000290 1
0.00050101 K 037 0.000602 0.000290 1
0.00048575 K 038 0.000602 0.000290 1
0.00044435 K 039 0.000602 0.000290 1
0.00039063 K 040 0.000602 0.000290 1
0.00042093 K 041 0.000602 0.000290 1
0.00042559 K 042 0.000602 0.000290 1
0.00046313 K 043 0.000602 0.000290 1
0.00035875 K 044 0.000602 0.000290 1
0.00039891 K 045 0.000602 0.000290 1
0.00035875 K 046 0.000602 0.000290 1
0.00030626 K 047 0.000602 0.000290 1
0.00024090 K 048 0.000602 0.000290 1
0.00031225 K 049 0.000602 0.000290 1
0.00025240 K 050 0.000602 0.000290 1
0.00026784 K 051 0.000602 0.000290 1
0.00125011 L 002 0.000708 0.000254 1
0.00128415 L 003 0.000708 0.000254 1
0.00124193 L 004 0.000708 0.000254 1
0.00125247 L 005 0.000708 0.000254 1
0.00113864 L 006 0.000708 0.000254 1
0.00115588 L 007 0.000708 0.000254 1
0.00104183 L 008 0.000708 0.000254 1
0.00104554 L 009 0.000708 0.000254 1
